Lang	Train	Dev	Tests
msa	"OPUS_GNOME_v1,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tanzil_v1, OPUS100v1_train, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
mvv	OPUS_Tatoeba_v20190709		
mwl	"OPUS_Tatoeba_v20190709, WikiMatrix_v1"		
mww	OPUS_Tatoeba_v20190709		
mxv	JW300		
mya	"GlobalVoices_2018Q4, JW300, OPUS_GlobalVoices_v2017q3,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
myv	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
mzn	OPUS_wikimedia_v20190628		
mzy	JW300		
nan	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
nap	"OPUS_Ubuntu_v14_10, OPUS_wikimedia_v20190628"		
nau	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
nav	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
nba	JW300		
nch	"JW300, OPUS_Tatoeba_v20190709"		
ncj	JW300		
ncs	JW300		
ncx	JW300		
ndc	JW300		
ndo	JW300		
nds	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, WikiMatrix_v1"		
nep	"GlobalVoices_2018Q4, JW300,   OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1"	", OPUS100v1_dev, OPUS100v1_test"	
new	OPUS_wikimedia_v20190628		
ngl	JW300		
ngt	OPUS_Tatoeba_v20190709		
ngu	"JW300, OPUS_Tatoeba_v20190709"		
nhg	OPUS_bible_uedin_v1		
nhn	OPUS_GNOME_v1		
